market,asin,sku,fba,transfer,inbound,units30,vel,doc,ad30,risk,spending_low,name
US,B08FF6X75N,AH-828A,0,15,0,1056,35.2,0,0,urgent,false,
US,B0CN8MFBLH,AH-PROPAINT12,0,0,0,3,0.1,0,37.01,urgent,true,Professional Ceramic Coating for Cars 360 ml Kit
US,B0CXKPY6B8,AH-HLPRO10,0,0,0,15,0.5,0,0,urgent,false,Headlight Restoration Pro Kit 10 Vehicle Bundle
US,B0DKVBTNNT,AH-RCINT14-2PK,0,0,0,90,3,0,0,urgent,false,Rapid Ceramic Interior Detailer 2 Pack
US,B0F2BFSMZT,AH-BNDL-PRO,0,0,0,2,0.07,0,0,urgent,false,Ceramic Coating Kit for Cars 5 Piece
US,B0F3GD9G6N,AH-BNDL-FLCVR,0,0,0,6,0.2,0,37.12,urgent,true,Car Detailing Bundle Fully Covered 8 Piece
US,B0HCR5GFYG,AH-PRORV12,0,0,0,1,0.03,0,0,urgent,false,Professional Ceramic Coating for RVs 360 ml Kit
US,B08DDGFXPK,AH-810A,9,0,0,265,8.83,1,0,urgent,false,
US,B0FYRJ1966,AH-RCPL-B14A,642,508,0,4270,142.33,4.5,9131.38,urgent,true,
US,B0CN8HJSYM,AH-PROPAINTKITA,107,0,0,517,17.23,6.2,5892.42,urgent,true,
US,B0H1NM7467,AH-RCPL-QA,64,8,0,278,9.27,6.9,0,urgent,false,
US,B0B94G13CN,AH-RCPAINTA,1150,4097,0,4945,164.83,7,9963.41,urgent,true,
US,B0GYBH76BR,AH-PROWHLKITA,25,0,0,74,2.47,10.1,134.87,urgent,true,
US,B0H1NP4461,AH-RCPV14A,64,75,0,154,5.13,12.5,0,urgent,false,
US,B0DH5ZC1N4,AH-FOAMAPP3,84,346,0,191,6.37,13.2,0,urgent,false,
US,B0DH5HKH5R,AH-SPONGE3A,178,64,0,295,9.83,18.1,0,watch,false,
US,B084RQKLV8,AH-HLKITA,26160,1061,0,42486,1416.2,18.5,59443.82,watch,true,
US,B0H3QLBNZF,AH-PROPVKITA,8,12,0,13,0.43,18.6,5.04,watch,true,
US,B0DKVZRX69,AH-RCINT14A,1103,2797,0,1555,51.83,21.3,3139.12,watch,true,
US,B0CQN1RXYB,AH-GLASSCOATA,1051,21,0,1318,43.93,23.9,2659.84,watch,true,
US,B0C4QX35KX,AH-TRPROAUPC,461,0,0,560,18.67,24.7,0,watch,false,
US,B0FW6WFX4D,AH-RCWHL14A,512,22,0,599,19.97,25.6,241.75,watch,true,
US,B0DJMW6283,AH-MICRTOWEL12A,2169,95,0,2174,72.47,29.9,623.74,watch,true,
US,B0DVV6K9Y6,AH-VEHSHAM32A,735,12,0,705,23.5,31.3,1199.9,healthy,false,
US,B08DDJ49X7,AH-811A,171,6,0,161,5.37,31.8,61.17,healthy,false,
US,B0F8JJM54R,AH-CLAYMITTA,54,1,0,50,1.67,32.3,0,healthy,false,
US,B07SHJVK4G,AH-TRKITA,15831,14,0,14611,487.03,32.5,21366.78,healthy,false,
US,B0GY1XLQMS,AH-RCTIRE-QA,343,44,0,302,10.07,34.1,0,healthy,false,
US,B0F45C2YHV,AH-RCTIRE10A,6780,302,0,5739,191.3,35.4,9327.96,healthy,false,
US,B0H1NDSGVJ,AH-RCINT-QA,66,21,0,49,1.63,40.5,0,healthy,false,
US,B0H1SP98C3,AH-RCPV-QA,24,1,0,15,0.5,48,0,healthy,false,
US,B0GZSHD4GP,AH-GCLEAN-B16A,94,2,0,55,1.83,51.4,0,healthy,false,
US,B0F3G1V5SF,AH-813A,244,35,0,124,4.13,59.1,0,healthy,false,
US,B0F2JL4F2W,AH-BNDL-COREA,25,0,0,12,0.4,62.5,7.93,healthy,false,
US,B0H3QRH9B7,AH-PROMARKITA,41,0,0,17,0.57,71.9,60.72,healthy,false,
US,B0DVB4P9KQ,AH-VEHSHAM16A,866,1,0,328,10.93,79.2,0,healthy,false,
US,B0C4ZVMRRK,AH-RCPAINTQA,1467,33,0,475,15.83,92.7,0,healthy,false,
US,B0F2JBJXYJ,AH-RCACA,108,1,0,34,1.13,95.6,0,healthy,false,
US,B0F3G9BC3G,AH-BNDL-FNDTNA,64,0,0,7,0.23,278.3,109.8,healthy,false,
US,B0H51RDY69,AH-PROACKIT,105,16,0,2,0.07,1500,1.75,healthy,false,Aircraft Ceramic Coating Professional 60 ml Kit
US,B0F23KPC5G,AH-BNDL-ALLIN,0,0,0,0,0,,56.77,out_of_stock,false,Car Wash and Detailing Kit All In 11 Piece
US,B0F2JKWWMM,AH-BNDL-RESTOR,0,0,0,0,0,,0,out_of_stock,false,Ceramic Car Detailing Kit 6 Piece
CA,B0FYRJ1966,AH-RCPL-B14A,306,56,0,428,14.27,21.4,1147.28,watch,true,
CA,B084RQKLV8,AH-HLKITA,3777,0,0,4418,147.27,25.6,8006.9,watch,true,
CA,B0DJMW6283,AH-MICRTOWEL12A,45,2,0,52,1.73,26,0,watch,false,
CA,B0F45C2YHV,AH-RCTIRE10A,920,90,0,799,26.63,34.5,2025.8,healthy,false,
CA,B0FW6WFX4D,AH-RCWHL14A,190,7,0,92,3.07,61.9,0,healthy,false,
CA,B07SHJVK4G,AH-TRKITA,2781,0,0,1152,38.4,72.4,2061.09,healthy,false,
CA,B0DVB4P9KQ,AH-VEHSHAM16A,150,0,0,54,1.8,83.3,0,healthy,false,
CA,B0B94G13CN,AH-RCPAINTA,2129,1,0,502,16.73,127.3,1918.54,healthy,false,
CA,B0H1NM7467,AH-RCPL-QA,64,10,0,4,0.13,492.3,0,healthy,false,
CA,B0F8JJM54R,AH-CLAYMITTA,54,1,0,3,0.1,540,0,healthy,false,
CA,B0H3QRH9B7,AH-PROMARKITA,41,0,0,1,0.03,1366.7,0,healthy,false,
CA,B0H1NP4461,AH-RCPV14A,64,75,0,1,0.03,2133.3,0,healthy,false,
CA,B08DDGFXPK,AH-810A,9,0,0,0,0,,0,no_sales,false,
CA,B0C4QX35KX,AH-TRPROAUPC,461,0,0,0,0,,0,no_sales,false,
CA,B0F3G1V5SF,AH-813A,244,35,0,0,0,,0,no_sales,false,
CA,B0H1SP98C3,AH-RCPV-QA,24,1,0,0,0,,0,no_sales,false,
CA,B0H51RDY69,AH-PROACKIT,0,0,0,0,0,,0,out_of_stock,false,
UK,B07SHJVK4G,AH-TRKITA,0,0,0,316,10.53,0,563.45,urgent,true,
UK,B084RQKLV8,AH-HLKITA,0,0,0,4395,146.5,0,6658.86,urgent,true,
UK,B0FYRJ1966,AH-RCPL-B14A,123,0,0,237,7.9,15.6,219.42,watch,true,
UK,B0CQN1RXYB,AH-GLASSCOATA,60,0,0,104,3.47,17.3,237.45,watch,true,
