market,asin,sku,fba,transfer,inbound,units30,vel,doc,ad30,risk,spending_low,name
UK,B0FW6WFX4D,AH-RCWHL14A,59,1,0,100,3.33,17.7,0,watch,false,
UK,B0CN8HJSYM,AH-PROPAINTKITA,13,0,0,9,0.3,43.3,0,healthy,false,
UK,B0DJMW6283,AH-MICRTOWEL12A,52,0,0,35,1.17,44.4,0,healthy,false,
UK,B0F45C2YHV,AH-RCTIRE10A,1464,122,0,778,25.93,56.5,2046.84,healthy,false,
UK,B0B94G13CN,AH-RCPAINTA,435,0,0,198,6.6,65.9,578.85,healthy,false,
UK,B0DKVZRX69,AH-RCINT14A,750,1,0,101,3.37,222.6,310.21,healthy,false,
UK,B0DVB4P9KQ,AH-VEHSHAM16A,351,0,0,37,1.23,285.4,24.07,healthy,false,
UK,B0FX5WH19H,AH-MFDRYTWLA,19,0,0,0,0,,0,no_sales,false,
DE,B0FYRJ1966,AH-RCPL-B14A,0,0,0,31,1.03,0,0,urgent,false,
DE,B0DKVZRX69,AH-RCINT14A,9,0,0,22,0.73,12.3,0,urgent,false,
DE,B0F45C2YHV,AH-RCTIRE10A,489,30,0,431,14.37,34,1488.64,healthy,false,
DE,B07SHJVK4G,AH-TRKITA,387,0,0,324,10.8,35.8,670.11,healthy,false,
DE,B0B94G13CN,AH-RCPAINTA,252,0,0,101,3.37,74.8,0,healthy,false,
DE,B0CN8HJSYM,AH-PROPAINTKITA,24,0,0,3,0.1,240,0,healthy,false,
DE,B0CQN1RXYB,AH-GLASSCOATA,335,0,0,38,1.27,263.8,71.42,healthy,false,
DE,B0DJMW6283,AH-MICRTOWEL12A,271,0,0,14,0.47,576.6,0,healthy,false,
DE,B0DVB4P9KQ,AH-VEHSHAM16A,115,0,0,3,0.1,1150,0,healthy,false,
FR,B0FYRJ1966,AH-RCPL-B14A,0,0,0,3,0.1,0,0,urgent,false,
FR,B0DKVZRX69,AH-RCINT14A,9,0,0,10,0.33,27.3,0,watch,false,
FR,B084RQKLV8,AH-HLKITA,4959,0,0,1172,39.07,126.9,2513.05,healthy,false,
FR,B0F45C2YHV,AH-RCTIRE10A,489,30,0,111,3.7,132.2,662.54,healthy,false,
FR,B07SHJVK4G,AH-TRKITA,383,0,0,82,2.73,140.3,194.99,healthy,false,
FR,B0DJMW6283,AH-MICRTOWEL12A,271,0,0,14,0.47,576.6,0,healthy,false,
FR,B0DVB4P9KQ,AH-VEHSHAM16A,115,0,0,5,0.17,676.5,0,healthy,false,
FR,B0B94G13CN,AH-RCPAINTA,252,0,0,10,0.33,763.6,0,healthy,false,
FR,B0CQN1RXYB,AH-GLASSCOATA,335,0,0,9,0.3,1116.7,53.52,healthy,false,
FR,B0CN8HJSYM,AH-PROPAINTKITA,24,0,0,0,0,,0,no_sales,false,
IT,B0FYRJ1966,AH-RCPL-B14A,0,0,0,10,0.33,0,0,urgent,false,
IT,B0DKVZRX69,AH-RCINT14A,9,0,0,4,0.13,69.2,0,healthy,false,
IT,B0B94G13CN,AH-RCPAINTA,252,0,0,63,2.1,120,182.92,healthy,false,
IT,B07SHJVK4G,AH-TRKITA,387,0,0,31,1.03,375.7,43.59,healthy,false,
IT,B084RQKLV8,AH-HLKITA,4959,0,0,261,8.7,570,590.46,healthy,false,
IT,B0CQN1RXYB,AH-GLASSCOATA,335,0,0,14,0.47,712.8,0,healthy,false,
IT,B0DVB4P9KQ,AH-VEHSHAM16A,115,0,0,4,0.13,884.6,0,healthy,false,
IT,B0DJMW6283,AH-MICRTOWEL12A,271,0,0,4,0.13,2084.6,0,healthy,false,
IT,B0F45C2YHV,AH-RCTIRE10A,489,30,0,4,0.13,3761.5,0,healthy,false,
IT,B0CN8HJSYM,AH-PROPAINTKITA,24,0,0,0,0,,0,no_sales,false,
ES,B0FYRJ1966,AH-RCPL-B14A,0,0,0,26,0.87,0,0,urgent,false,
ES,B0DKVZRX69,AH-RCINT14A,9,0,0,3,0.1,90,0,healthy,false,
ES,B0B94G13CN,AH-RCPAINTA,252,0,0,83,2.77,91,710.46,healthy,false,
ES,B07SHJVK4G,AH-TRKITA,384,0,0,84,2.8,137.1,147.36,healthy,false,
ES,B0F45C2YHV,AH-RCTIRE10A,489,30,0,50,1.67,292.8,284.15,healthy,false,
ES,B084RQKLV8,AH-HLKITA,4959,0,0,498,16.6,298.7,979.29,healthy,false,
ES,B0CQN1RXYB,AH-GLASSCOATA,335,0,0,12,0.4,837.5,12.69,healthy,false,
ES,B0DJMW6283,AH-MICRTOWEL12A,271,0,0,4,0.13,2084.6,0,healthy,false,
ES,B0DVB4P9KQ,AH-VEHSHAM16A,115,0,0,1,0.03,3833.3,0,healthy,false,
NL,B0FYRJ1966,AH-RCPL-B14A,0,0,0,13,0.43,0,2.6,urgent,true,
NL,B0DKVZRX69,AH-RCINT14A,9,0,0,6,0.2,45,2.27,healthy,false,
NL,B07SHJVK4G,AH-TRKITA,383,0,0,90,3,127.7,55.04,healthy,false,
NL,B0F45C2YHV,AH-RCTIRE10A,489,30,0,24,0.8,611.2,25.11,healthy,false,
NL,B0CQN1RXYB,AH-GLASSCOATA,335,0,0,15,0.5,670,49.93,healthy,false,
NL,B084RQKLV8,AH-HLKITA,4959,0,0,214,7.13,695.5,86.99,healthy,false,
NL,B0B94G13CN,AH-RCPAINTA,252,0,0,7,0.23,1095.7,0,healthy,false,
NL,B0DJMW6283,AH-MICRTOWEL12A,271,0,0,3,0.1,2710,0,healthy,false,
AU,B07SHJVK4G,AH-TRKITA,0,0,0,264,8.8,0,464.6,urgent,true,
AU,B0DVB4P9KQ,AH-VEHSHAM16A,7,0,0,22,0.73,9.6,0,urgent,false,
AU,B0FYRJ1966,AH-RCPL-B14A,59,0,0,72,2.4,24.6,220.01,watch,true,
AU,B0FW6WFX4D,AH-RCWHL14A,18,1,0,18,0.6,30,0,healthy,false,
AU,B0DJMW6283,AH-MICRTOWEL12A,20,0,0,15,0.5,40,0,healthy,false,
AU,B084RQKLV8,AH-HLKITA,1989,1,0,1292,43.07,46.2,1743.71,healthy,false,
AU,B0F45C2YHV,AH-RCTIRE10A,235,4,0,130,4.33,54.3,309.5,healthy,false,
AU,B0B94G13CN,AH-RCPAINTA,267,1,0,67,2.23,119.7,204.8,healthy,false,
AU,B0CQN1RXYB,AH-GLASSCOATA,243,5,0,53,1.77,137.3,136.4,healthy,false,
AU,B0CN8HJSYM,AH-PROPAINTKITA,26,0,0,1,0.03,866.7,0,healthy,false,
