market,asin,sku,fba,transfer,inbound,units30,vel,doc,ad30,risk,spending_low,name
NL,B0DJMW6283,AH-MICRTOWEL12A,269,0,0,3,0.1,2690,0,healthy,false,
AU,B0DVB4P9KQ,AH-VEHSHAM16A,5,0,0,25,0.83,6.0,0,urgent,false,
AU,B0FYRJ1966,AH-RCPL-B14A,45,0,0,82,2.73,16.5,232.01,watch,true,
AU,B0FW6WFX4D,AH-RCWHL14A,14,1,0,22,0.73,19.2,0,watch,false,
AU,B0DJMW6283,AH-MICRTOWEL12A,20,0,0,15,0.5,40,0,healthy,false,
AU,B084RQKLV8,AH-HLKITA,1875,1,0,1262,42.07,44.6,1674.51,healthy,false,
AU,B0F45C2YHV,AH-RCTIRE10A,222,1,0,132,4.4,50.5,308.47,healthy,false,
AU,B0B94G13CN,AH-RCPAINTA,252,2,0,71,2.37,106.3,215.25,healthy,false,
AU,B0CQN1RXYB,AH-GLASSCOATA,241,5,0,47,1.57,153.5,122.38,healthy,false,
AU,B0CN8HJSYM,AH-PROPAINTKITA,26,0,0,1,0.03,866.7,0,healthy,false,
