market,asin,rev30
US,B0H3QLBNZF,2396.70
US,B0DKVBTNNT,1808.35
US,B0CN8MFBLH,1594.85
US,B0CXKPY6B8,1055.55
US,B0F3GD9G6N,564.05
US,B0HCR5GFYG,517.28
US,B0F2BFSMZT,289.90
US,B0F23KPC5G,241.95
UK,B07SHJVK4G,8630.91
AU,B07SHJVK4G,11466.60
SA,B0DKVZRX69,0
SA,B0F45C2YHV,0
