market,asin,sku,fba,transfer,inbound,units30,vel,doc,ad30,risk,spending_low,name
UK,B07SHJVK4G,AH-TRKITA,0,0,0,636,21.2,0,1049.73,urgent,true,
UK,B084RQKLV8,AH-HLKITA,1990,0,0,5035,167.83,11.9,6717.26,urgent,true,
UK,B0FW6WFX4D,AH-RCWHL14A,106,1,0,126,4.2,25.2,0,watch,false,
UK,B0FYRJ1966,AH-RCPL-B14A,263,0,0,236,7.87,33.4,426.04,healthy,false,
UK,B0CQN1RXYB,AH-GLASSCOATA,121,0,0,96,3.2,37.8,261.43,healthy,false,
UK,B0CN8HJSYM,AH-PROPAINTKITA,17,0,0,9,0.3,56.7,0,healthy,false,
UK,B0F45C2YHV,AH-RCTIRE10A,1889,31,0,983,32.77,57.6,2258.53,healthy,false,
UK,B0DJMW6283,AH-MICRTOWEL12A,72,0,0,36,1.2,60,0,healthy,false,
UK,B0B94G13CN,AH-RCPAINTA,513,31,0,227,7.57,67.8,776.64,healthy,false,
UK,B0DKVZRX69,AH-RCINT14A,789,0,0,139,4.63,170.4,474.41,healthy,false,
UK,B0DVB4P9KQ,AH-VEHSHAM16A,368,0,0,35,1.17,314.5,25.82,healthy,false,
UK,B0FX5WH19H,AH-MFDRYTWLA,19,0,0,0,0,,0,no_sales,false,
DE,B0FW6WFX4D,AH-RCWHL14A,6,0,0,6,0.2,30,0,healthy,false,
DE,B0DKVZRX69,AH-RCINT14A,26,3,0,22,0.73,35.6,0,healthy,false,
DE,B0FYRJ1966,AH-RCPL-B14A,55,0,0,45,1.5,36.7,0,healthy,false,
DE,B0F45C2YHV,AH-RCTIRE10A,763,90,0,373,12.43,61.4,967.92,healthy,false,
DE,B07SHJVK4G,AH-TRKITA,596,105,0,218,7.27,82.0,526.77,healthy,false,
DE,B0CQN1RXYB,AH-GLASSCOATA,231,150,0,46,1.53,151.0,142.13,healthy,false,
DE,B0B94G13CN,AH-RCPAINTA,409,0,0,41,1.37,298.5,0,healthy,false,
DE,B0CN8HJSYM,AH-PROPAINTKITA,26,0,0,1,0.03,866.7,0,healthy,false,
DE,B0DVB4P9KQ,AH-VEHSHAM16A,122,0,0,4,0.13,938.5,0,healthy,false,
DE,B0DJMW6283,AH-MICRTOWEL12A,273,17,0,7,0.23,1187.0,0,healthy,false,
FR,B0FW6WFX4D,AH-RCWHL14A,6,0,0,3,0.1,60,0,healthy,false,
FR,B084RQKLV8,AH-HLKITA,3721,2166,0,1051,35.03,106.2,2436.21,healthy,false,
FR,B0DKVZRX69,AH-RCINT14A,26,3,0,5,0.17,152.9,0,healthy,false,
FR,B0FYRJ1966,AH-RCPL-B14A,55,0,0,8,0.27,203.7,0,healthy,false,
FR,B0F45C2YHV,AH-RCTIRE10A,763,90,0,68,2.27,336.1,360.03,healthy,false,
FR,B07SHJVK4G,AH-TRKITA,601,105,0,53,1.77,339.5,150.91,healthy,false,
FR,B0DJMW6283,AH-MICRTOWEL12A,273,17,0,13,0.43,634.9,0,healthy,false,
FR,B0CQN1RXYB,AH-GLASSCOATA,231,150,0,3,0.1,2310,35.35,healthy,false,
FR,B0B94G13CN,AH-RCPAINTA,409,0,0,4,0.13,3146.2,0,healthy,false,
