seller_id,market,window,rating,count,pos_pct,neg_pct,recent_negative
AOXMQPMOL1F1Y,US,30d,4.5,188,0.89,0.09,"2026-08-30: Why was my package not delivered and since it's not delivered why not just replace it? || 2026-08-30: I ordered as a set but only half of it came. Why? || 2026-08-29: not the right towels || 2026-08-25: This was a previously opened package. The spray nozzle was missing. || 2026-08-20: Have not used yet. Will send feedback after I use it"
AOXMQPMOL1F1Y,CA,30d,4.2,53,0.79,0.13,"2026-09-01: Items was incomplete || 2026-08-27: I was missing the final packets 3 in my box and when I started I now have a mess || 2026-08-25: Followed the directions and it still is foggy. Would not recommend this product. Can not return as I used the product. || 2026-08-22: Missing hex 4.0 bit.... || 2026-08-18: I bought a top link in April and now in August it is broken in 2 parts. Where is customer service for this quality issue?"
A3BMUMIXNXIR6G,UK,30d,4.8,37,0.94,0.06,"2026-08-29: I haven't yet had time to use the product || 2026-08-23: Only a pair of number 3 was in the box"
A3BMUMIXNXIR6G,DE,30d,4,6,0.83,0.17,"2026-08-13: Find es einfach eine Frechheit, das Nur in Englisch beschrieben ist"
A3BMUMIXNXIR6G,FR,30d,5,9,1,0,
A3BMUMIXNXIR6G,IT,30d,5,1,1,0,
A3BMUMIXNXIR6G,ES,30d,4,3,1,0,
A3BMUMIXNXIR6G,NL,30d,,0,,,
A3BMUMIXNXIR6G,SA,30d,,0,,,
A22UNGVVL3ZGDF,AU,30d,5,6,1,0,
A1KUYEQ8RRQVVI,US,30d,5,2,1,0,
A21D21T8B6U09C,US,30d,5,1,1,0,
A1KUYEQ8RRQVVI,CA,30d,,0,,,
A21D21T8B6U09C,CA,30d,,0,,,
